date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest
2025-01-08,115.651,115.733,115.825,115.643,501631,5807594245.0,0.16,-0.03,-0.035,11.0,109.1,109.245,109.03,109.19,503,2445
2025-01-09,115.75,115.495,115.758,115.489,385618,4457927651.0,0.23,-0.21,-0.238,8.46,109.195,109.205,108.915,108.93,430,2425
2025-01-10,114.944,115.432,115.486,114.91,393329,4534883783.0,0.5,-0.05,-0.063,8.63,108.6,108.955,108.42,108.955,1726,2686
2025-01-13,115.408,115.315,115.46,115.2,326889,3769874441.0,0.23,-0.1,-0.117,7.17,108.9,108.93,108.68,108.84,427,2706
2025-01-14,115.315,115.31,115.335,115.123,353601,4073936301.0,0.18,0.0,-0.005,7.75,108.74,108.97,108.74,108.95,553,2745
2025-01-15,115.53,115.631,115.713,115.466,413654,4781404089.0,0.21,0.28,0.321,9.07,109.035,109.18,109.035,109.125,135,2756
2025-01-16,115.57,115.544,115.639,115.428,347546,4015355923.0,0.18,-0.08,-0.087,7.62,109.08,109.225,108.99,109.16,260,2835
2025-01-17,115.574,115.397,115.623,115.362,404841,4675114056.0,0.23,-0.13,-0.147,8.88,109.215,109.245,108.925,108.925,367,2917
2025-01-20,115.281,115.317,115.345,115.217,381801,4402025589.0,0.11,-0.07,-0.08,8.37,108.935,109.055,108.87,108.985,574,2999
2025-01-21,115.32,115.496,115.515,115.311,497290,5737297949.0,0.18,0.16,0.179,10.91,108.99,109.115,108.845,109.11,556,3048
2025-01-22,115.586,115.49,115.655,115.484,462451,5345361335.0,0.15,-0.01,-0.006,10.14,109.12,109.19,109.065,109.07,203,3074
2025-01-23,115.471,115.45,115.519,115.364,407272,4702139291.0,0.13,-0.03,-0.04,8.93,109.095,109.14,109.015,109.1,530,3073
2025-01-24,115.409,115.288,115.409,115.242,355700,4101676749.0,0.14,-0.14,-0.162,7.8,109.01,109.105,108.9,109.105,372,3175
