date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest,中国:国债收益率:10年,中国:国债收益率:1年,中债国债到期收益率:5年,中债国债到期收益率:30年,中债国开债到期收益率:10年,SHIBOR:3个月,R007,利率互换:FR007:1年
2025-04-15,115.233,115.168,115.233,115.113,606255,6982247228,0.1,0.02,0.028,13.29,109.1,109.17,109.035,109.065,4324,20613,1.6616,1.407,1.5015,1.8602,1.69,1.775,1.7293,1.5248
2025-04-16,115.3,115.289,115.374,115.22,529844,6109728870,0.13,0.11,0.121,11.62,109.155,109.305,109.015,109.235,11145,24744,1.6503,1.4174,1.4896,1.8652,1.67,1.772,1.7407,1.5206
2025-04-17,115.343,115.249,115.358,115.227,626832,7226147766,0.11,-0.03,-0.04,13.75,109.345,109.345,109.05,109.09,11917,28931,1.652,1.4194,1.5048,1.8982,1.6875,1.767,1.7206,1.5229
2025-04-18,115.243,115.194,115.281,115.077,772603,8898740454,0.18,-0.05,-0.055,16.94,109.15,109.2,109.02,109.145,8037,30626,1.6577,1.4379,1.504,1.9042,1.681,1.761,1.7116,1.5262
2025-04-21,115.28,115.122,115.28,115.063,584893,6732948315,0.19,-0.06,-0.072,12.83,109.035,109.14,108.885,108.93,7506,31330,1.6631,1.4431,1.5303,1.9227,1.6951,1.759,1.7262,1.5421
2025-04-22,115.267,115.251,115.267,115.154,596650,6874518859,0.1,0.11,0.129,13.08,108.98,109.1,108.98,109.1,5382,32354,1.6607,1.4399,1.5179,1.9052,1.6801,1.755,1.7244,1.5255
2025-04-23,115.188,115.121,115.188,115.105,585675,6743149650,0.07,-0.11,-0.13,12.84,109.02,109.02,108.84,108.92,8679,33318,1.6715,1.4494,1.5379,1.9279,1.6971,1.753,1.7012,1.532
2025-04-24,115.188,115.064,115.237,115.06,575790,6629948379,0.15,-0.05,-0.057,12.63,108.925,109.065,108.84,108.845,9607,35883,1.6651,1.4449,1.547,1.9327,1.6991,1.75,1.7721,1.5295
2025-04-25,115.133,115.135,115.198,115.082,794097,9143553110,0.1,0.06,0.071,17.41,108.86,109.035,108.82,108.92,11001,37632,1.6713,1.4552,1.5433,1.9276,1.6961,1.75,1.6587,1.5172
2025-04-28,115.249,115.211,115.268,115.149,514317,5926738345,0.1,0.07,0.076,11.28,109.0,109.095,108.87,109.01,10634,40352,1.6609,1.4596,1.5393,1.9005,1.6876,1.75,1.7862,1.5112
2025-04-29,115.325,115.454,115.485,115.278,545067,6288406515,0.18,0.21,0.243,11.95,109.175,109.245,109.06,109.245,11868,45364,1.6493,1.4589,1.5352,1.8225,1.6551,1.75,1.8116,1.5171
2025-04-30,115.486,115.579,115.584,115.4,383439,4428986015,0.16,0.11,0.125,8.41,109.21,109.25,109.1,109.145,10677,46932,1.6405,1.4553,1.5163,1.824,1.6591,1.75,1.8396,1.5235
2025-05-06,115.513,115.529,115.578,115.435,759816,8777368277,0.12,-0.04,-0.05,16.66,109.1,109.275,109.08,109.215,10311,50098,1.6371,1.4607,1.5255,1.827,1.6592,1.748,1.7558,1.5281
2025-05-07,115.588,115.411,115.588,115.387,822584,9496334269,0.17,-0.1,-0.118,18.04,109.135,109.275,108.935,109.02,26531,54128,1.6466,1.4462,1.5156,1.8475,1.6732,1.737,1.7139,1.515
2025-05-08,115.515,115.55,115.594,115.472,712618,8234166689,0.11,0.12,0.139,15.63,109.13,109.3,109.115,109.215,20546,62488,1.6446,1.4155,1.5009,1.8375,1.6612,1.72,1.6477,1.4905
2025-05-09,115.654,115.664,115.699,115.61,820226,9486324483,0.08,0.1,0.114,17.99,109.27,109.345,109.165,109.215,22002,69213,1.6414,1.4043,1.4957,1.8425,1.6642,1.696,1.5805,1.4846
2025-05-12,115.58,115.571,115.685,115.49,719694,8320209241,0.17,-0.08,-0.093,15.78,109.065,109.235,108.525,108.725,47986,77328,1.6595,1.4076,1.5519,1.905,1.7227,1.672,1.5499,1.4938
2025-05-13,115.246,115.417,115.462,115.16,958746,11065642395,0.26,-0.13,-0.154,21.02,108.79,108.9,108.745,108.89,43058,86981,1.6866,1.4296,1.5421,1.879,1.6993,1.662,1.5337,1.4992
2025-05-14,115.496,115.311,115.496,115.264,792553,9140987564,0.2,-0.09,-0.106,17.38,108.865,108.875,108.64,108.69,42711,94743,1.6831,1.4177,1.5622,1.8775,1.7003,1.653,1.544,1.5189
2025-05-15,115.381,115.323,115.387,115.283,706856,8152812972,0.09,0.01,0.012,15.5,108.74,108.74,108.57,108.695,38179,100297,1.686,1.4289,1.577,1.8825,1.7123,1.645,1.5456,1.5383
2025-05-16,115.289,115.188,115.289,115.147,1025033,11806793655,0.12,-0.12,-0.135,22.48,108.61,108.69,108.48,108.65,51878,109113,1.6972,1.4489,1.577,1.878,1.7133,1.647,1.6251,1.572
2025-05-19,115.25,115.294,115.312,115.211,1190141,13718317893,0.09,0.09,0.106,26.1,108.64,108.84,108.635,108.83,60025,125036,1.6883,1.4453,1.5672,1.861,1.6928,1.645,1.6374,1.5555
2025-05-20,115.4,115.391,115.456,115.321,1238113,14285592402,0.12,0.08,0.097,27.15,108.885,108.945,108.78,108.84,76231,142998,1.6797,1.4377,1.5722,1.872,1.7028,1.642,1.5986,1.5552
2025-05-21,115.4,115.394,115.408,115.321,877709,10126742354,0.08,0.0,0.003,19.25,108.895,108.895,108.72,108.835,52668,149750,1.6853,1.4489,1.5647,1.885,1.71,1.64,1.5884,1.5581
2025-05-22,115.4,115.399,115.456,115.385,594647,6863259823,0.06,0.0,0.005,13.04,108.84,108.96,108.77,108.815,65126,156071,1.6943,1.4417,1.5649,1.887,1.7186,1.64,1.5777,1.5501
2025-05-23,115.422,115.457,115.459,115.308,848662,9790823877,0.13,0.05,0.058,18.61,108.775,108.88,108.69,108.85,63496,163964,1.7127,1.4519,1.565,1.889,1.7034,1.642,1.6266,1.5575
2025-05-26,115.5,115.483,115.521,115.457,625442,7223216278,0.06,0.02,0.026,13.72,108.89,108.935,108.825,108.855,52310,166526,1.7002,1.4511,1.5628,1.8875,1.694,1.643,1.696,1.5543
2025-05-27,115.522,115.349,115.522,115.3,797635,9206733453,0.19,-0.12,-0.134,17.49,108.88,108.89,108.705,108.735,58575,165848,1.7064,1.4516,1.5703,1.901,1.71,1.644,1.6794,1.5559
2025-05-28,115.362,115.36,115.367,115.281,668259,7707049592,0.07,0.01,0.011,14.65,108.7,108.785,108.635,108.73,49829,168138,1.718,1.4678,1.5753,1.906,1.7155,1.647,1.6948,1.5515
2025-05-29,115.201,115.089,115.23,115.026,728628,8387102395,0.18,-0.23,-0.271,15.98,108.61,108.62,108.455,108.475,72334,166334,1.7404,1.4766,1.5903,1.916,1.7265,1.652,1.7402,1.5675
2025-05-30,115.251,115.269,115.33,115.243,610366,7036935916,0.08,0.16,0.18,13.39,108.65,108.76,108.63,108.725,62469,164631,1.7195,1.4669,1.564,1.896,1.709,1.652,1.6972,1.5525
2025-06-03,115.31,115.283,115.323,115.271,712329,8213318684,0.05,0.01,0.014,15.62,108.7,108.75,108.65,108.685,42868,167327,1.7241,1.464,1.5797,1.895,1.7171,1.652,1.5877,1.5556
2025-06-04,115.33,115.344,115.351,115.272,858989,9903513743,0.07,0.05,0.061,18.84,108.72,108.775,108.62,108.765,55709,170547,1.6782,1.4605,1.565,1.891,1.7107,1.652,1.575,1.5516
2025-06-05,115.35,115.341,115.394,115.31,522190,6023699935,0.07,0.0,-0.003,11.45,108.72,108.86,108.695,108.72,64481,169240,1.6695,1.4355,1.5585,1.896,1.7146,1.652,1.5677,1.5385
2025-06-06,115.397,115.462,115.465,115.386,756411,8731336268,0.07,0.1,0.121,16.59,108.82,108.93,108.81,108.925,54263,177112,1.6697,1.4156,1.5459,1.876,1.6967,1.651,1.5514,1.525
2025-06-09,115.54,115.567,115.593,115.503,838437,9689356021,0.08,0.09,0.105,18.39,108.97,109.04,108.91,109.0,60635,182042,1.6541,1.4119,1.5437,1.87,1.6992,1.649,1.5426,1.5123
2025-06-10,115.585,115.529,115.594,115.506,744388,8602337141,0.08,-0.03,-0.038,16.32,109.0,109.03,108.945,108.995,47942,184969,1.6602,1.4085,1.5456,1.8695,1.7047,1.645,1.5424,1.5159
2025-06-11,115.566,115.65,115.652,115.566,810932,9375669298,0.07,0.1,0.121,17.78,109.05,109.12,109.0,109.045,47080,187358,1.6524,1.4069,1.5426,1.849,1.6977,1.642,1.5615,1.5203
